observation_date,PCE,PERCENTAGE
2017-09-01,"13417,3","2819815,00%"
2017-10-01,"13447,5","2822825,00%"
2017-11-01,"13540,6","2829030,00%"
2017-12-01,"13666,1","2836805,00%"
2018-01-01,"13703,3","2840215,00%"
2018-02-01,"13738,7","2843535,00%"
2018-03-01,"13793,2","2847660,00%"
2018-04-01,"13838,4","2851470,00%"
2018-05-01,13905,"2856300,00%"
2018-06-01,"13930,4","2859120,00%"
2018-07-01,"13974,8","2862840,00%"
2018-08-01,14014,"2866350,00%"
2018-09-01,"14017,8","2868090,00%"
2018-10-01,"14083,1","2872855,00%"
2018-11-01,"14162,9","2878395,00%"
2018-12-01,"14051,6","2874330,00%"
2019-01-01,"14084,6","2877530,00%"
2019-02-01,"14117,4","2880720,00%"
2019-03-01,"14248,6","2888680,00%"
2019-04-01,14290,"2892300,00%"
2019-05-01,"14353,3","2896965,00%"
2019-06-01,"14408,7","2901285,00%"
2019-07-01,14496,"2907150,00%"
2019-08-01,"14558,2","2911810,00%"
2019-09-01,"14590,6","2914980,00%"
2019-10-01,"14617,4","2917820,00%"
2019-11-01,14711,"2924050,00%"
2019-12-01,"14774,8","2928740,00%"
2020-01-01,"14844,3","2933765,00%"
2020-02-01,"14833,8","2934790,00%"
2020-03-01,"13810,5","2885075,00%"
2020-04-01,"12234,4","2807820,00%"
2020-05-01,"13251,7","2860185,00%"
2020-06-01,"14040,8","2901190,00%"
2020-07-01,"14303,8","2915840,00%"
2020-08-01,"14454,9","2924945,00%"
2020-09-01,"14675,4","2937520,00%"
2020-10-01,14726,"2941550,00%"
2020-11-01,"14704,9","2942045,00%"
2020-12-01,"14827,3","2949665,00%"
2021-01-01,"15081,5","2963925,00%"
2021-02-01,"14984,4","2960620,00%"
2021-03-01,"15712,4","2998420,00%"
2021-04-01,15915,"3010100,00%"
2021-05-01,"15950,5","3013375,00%"
2021-06-01,"16183,6","3026580,00%"
2021-07-01,"16223,5","3030075,00%"
2021-08-01,"16390,6","3039980,00%"
2021-09-01,"16477,5","3045875,00%"
2021-10-01,16694,"3058200,00%"
2021-11-01,16849,"3067500,00%"
2021-12-01,"16905,5","3071825,00%"
2022-01-01,"17017,8","3078990,00%"
2022-02-01,"17136,1","3086455,00%"
2022-03-01,"17371,4","3099620,00%"
2022-04-01,"17493,8","3107290,00%"
2022-05-01,"17569,9","3112595,00%"
2022-06-01,"17747,6","3123030,00%"
2022-07-01,17744,"3124350,00%"
2022-08-01,"17897,5","3133575,00%"
2022-09-01,"17987,2","3139610,00%"
2022-10-01,"18096,2","3146560,00%"
2022-11-01,18094,"3148000,00%"
2022-12-01,"18134,6","3151530,00%"
2023-01-01,"18475,2","3170110,00%"
2023-02-01,"18532,1","3174505,00%"
2023-03-01,"18511,3","3174865,00%"
2023-04-01,"18638,7","3182785,00%"
2023-05-01,"18676,4","3186170,00%"
2023-06-01,"18742,1","3191005,00%"
2023-07-01,"18850,5","3197925,00%"
2023-08-01,"18911,6","3202530,00%"
2023-09-01,"19024,9","3209745,00%"
2023-10-01,"19069,5","3213475,00%"
2023-11-01,19151,"3219100,00%"
2023-12-01,"19289,9","3227545,00%"
2024-01-01,"19308,5","3230025,00%"
2024-02-01,"19412,7","3236785,00%"
2024-03-01,"19553,2","3245260,00%"
2024-04-01,"19603,3","3249315,00%"
2024-05-01,"19697,3","3255515,00%"
2024-06-01,"19747,5","3259575,00%"
2024-07-01,"19866,3","3267015,00%"
2024-08-01,19905,"3270500,00%"
2024-09-01,"20044,1","3279005,00%"
2024-10-01,"20114,2","3284010,00%"
2024-11-01,"20195,5","3289625,00%"
